15,2007/05/25,973.6
9,1981/05/30,885.59
8,1989/07/28,622.88
8,2003/01/14,410.02
0,1989/06/24,2.2
18,1974/10/13,624.8
9,1962/05/15,772.82
2,2008/03/08,60.5
13,1998/04/27,339.31
1,1984/07/23,880.52
17,2005/02/10,526.88
14,2009/10/02,942.45
15,1990/01/17,198.92
12,1972/10/04,466.84
1,1983/02/26,367.23
14,1977/01/04,612.5
18,2013/07/18,527.95
1,2007/06/05,34.88
0,1964/12/10,240.74
7,1989/08/01,424.09
16,1972/06/25,133.2
17,1964/12/30,659.52
13,2005/12/30,501.45
3,1977/10/29,957.07
14,1995/01/26,861.2
16,1964/07/30,643.03
3,2012/07/30,219.63
13,1979/10/12,687.49
11,2005/02/22,450.87
15,1976/12/19,135.07
16,1996/01/17,98.84
13,1982/12/17,145.84
6,1974/02/03,757.65
11,1988/04/19,614.69
2,1999/01/03,118.23
1,1971/09/18,680.38
11,1988/10/03,970.92
0,1992/05/03,820.25
13,1970/08/18,237
7,1994/03/06,403.88
14,1972/01/18,212.85
12,1979/10/09,346.73
3,1978/06/18,61.65
13,1965/03/25,958.13
8,1983/09/30,517.45
13,1964/04/19,857.66
18,2012/04/23,283.64
12,2004/01/03,379.48
8,1960/02/28,642.33
19,1976/06/12,679.89
12,1994/04/28,946.14
18,1994/08/27,592.34
12,1996/02/08,464.06
0,2002/03/14,464.89
10,1969/05/09,193.27
8,1968/12/28,894.1
19,1986/05/16,849.03
6,1984/11/13,608.55
19,2004/04/16,93.87
6,2010/04/28,225.9
17,1964/05/19,877.46
10,1996/10/11,224.41
1,2003/07/30,413.66
3,2001/06/15,47.78
11,1984/03/02,127.21
16,1985/09/24,661.42
16,1966/01/28,836.07
6,1961/02/18,255.17
9,1967/07/15,396.89
0,1984/04/17,847.08
19,2003/08/01,101.54
4,1986/07/07,785.54
2,2004/07/01,764.23
13,1988/03/22,121.2
2,1995/07/19,848.52
8,1990/09/03,369.5
8,1967/12/14,236.3
17,2001/10/14,702.37
15,1995/05/22,596.68
14,1977/10/21,280.32
13,1975/05/25,452.09
7,1972/05/24,501.11
14,1966/05/07,313.95
5,2000/06/18,928.86
0,1999/11/06,945.72
13,1975/01/13,658.25
17,1979/12/26,353.45
9,1963/08/05,737.77
15,1991/12/11,370.47
3,1995/02/15,946.29
5,2011/03/31,235.19
2,2007/10/14,909.73
19,2006/09/12,818.8
3,2004/07/29,23.59
3,1961/11/20,779.27
9,1976/10/07,478.47
4,1980/05/10,952.89
15,1965/02/19,478.01
0,1995/11/04,473.65
19,1994/08/09,400.04
2,1993/08/25,83.04
19,1977/02/05,636.18
7,1988/10/22,679.06
5,1983/09/15,403.1
1,1970/08/10,597.73
0,1987/07/25,248.75
14,1971/11/23,337.07
14,1975/04/09,873.34
11,2000/08/14,259.63
19,1997/06/12,389.31
13,1972/12/22,254.88
12,2010/12/14,195.81
2,2005/09/02,835.95
16,1998/12/09,225.98
4,2001/04/29,790.86
7,1989/04/26,722.85
7,1976/04/02,329.34
13,1962/06/19,739.81
5,1994/06/28,860.1
2,1971/12/29,871.54
10,2014/08/20,717.02
17,1970/08/06,972.74
7,2003/04/20,617.35
3,1969/02/10,785.83
0,1986/01/21,591.5
17,2008/03/07,990.6
10,1984/09/20,957.17
15,2000/10/13,522.52
19,1977/10/29,424.96
12,1972/02/02,442.84
1,2004/12/20,96.97
15,1962/07/01,838.65
14,1979/08/03,352.54
11,2011/03/29,390.63
19,1973/11/12,978.35
2,2008/12/30,369.59
0,1995/02/05,386.13
10,1993/03/01,958.89
11,2005/05/14,35.75
17,2001/05/13,293.13
13,1974/04/17,830.91
3,1975/02/18,345.32
17,1983/09/15,38.48
14,1990/08/02,473.67
13,2003/09/30,380.5
0,1991/01/22,790.79
