969.52;10;22/10/2013
904.82;5;25/06/2013
658.01;0;15/12/1980
954.76;18;23/08/1991
462.83;17;26/02/1993
818.37;18;28/10/1963
822.55;14;10/06/1965
483.16;2;24/04/2005
959.32;17;29/10/2014
908.12;2;01/05/1979
825.67;14;03/03/1963
638.28;12;04/07/1986
994.64;3;02/09/1991
20.2;3;19/12/1975
476.5;8;31/12/1968
64.35;2;14/12/1970
635.69;15;12/05/1981
270.82;13;19/07/1995
277.2;10;11/05/1976
940.04;10;22/11/1984
199.45;14;07/11/2004
248.41;9;23/06/1966
743.01;11;11/05/1990
969.53;9;16/02/1965
70.64;18;31/05/2014
377.99;15;14/06/1978
612.14;7;20/02/1978
967.15;1;13/06/2008
608.69;5;26/09/1960
951.16;9;11/11/2008
358.36;1;25/02/2004
582.54;9;25/03/1973
252.75;7;01/08/1967
498.34;14;10/04/1969
209.3;0;11/09/1998
183.01;4;07/04/2004
645.46;16;13/12/1999
195.93;12;02/06/1997
757.34;12;28/05/1973
723.25;14;20/01/1970
901.68;19;25/10/1995
861.96;2;24/01/1978
227.13;10;05/04/1984
589.88;19;01/03/1962
48;7;11/02/2006
797.41;0;10/02/1997
535.63;8;13/11/1979
909.02;10;17/09/1961
151.89;13;26/02/1994
278.7;7;06/04/2005
445.05;11;03/10/1990
650.24;16;06/01/2003
746.28;16;14/08/1969
898.04;6;23/08/1968
368.29;16;10/05/1969
48.25;19;30/12/1983
836.02;14;08/06/1979
183.89;9;03/02/2014
738.64;16;30/06/1999
396.2;12;14/12/1980
47.23;13;05/07/1982
12.99;0;13/06/1967
302.3;16;21/01/1968
140.46;18;30/12/2009
348.36;7;22/09/2011
247.97;5;17/08/1986
231.58;6;12/04/1987
426.19;2;17/04/1963
234.17;18;03/10/1972
801.31;0;23/09/1972
591.25;7;09/10/2000
806.91;1;24/07/2005
319.02;9;26/07/1968
937.01;17;19/08/1961
417.43;16;06/04/2013
738.11;14;26/12/1962
935.75;10;21/02/1976
74.84;6;29/07/1991
489.94;13;22/03/2005
726.12;1;11/10/1968
579.1;11;22/08/2004
660.6;11;14/12/1993
794.16;2;21/12/2008
598.25;18;26/05/1995
870.01;10;24/04/2007
806.8;5;16/09/2014
677.02;13;07/11/1973
298.41;1;06/10/2010
147.44;9;06/02/1997
393.95;0;02/01/2009
804.42;6;28/09/1992
895.04;15;07/11/1991
818.94;15;05/10/2013
151.57;2;24/05/1971
223.64;0;21/07/2008
113.73;12;03/10/2000
219.37;6;01/03/2004
910.86;18;04/08/1977
124.42;13;27/05/2011
677.03;8;24/02/2000
939.01;4;17/01/1988
737.6;6;03/03/2002
275.92;11;31/08/2010
47.07;1;15/06/1986
387.97;2;01/07/2003
14.36;2;22/07/2010
594.63;6;31/10/2007
824.19;9;21/10/1990
763.28;4;09/10/1986
744.91;11;21/03/1982
869.41;19;03/01/1963
55.45;1;25/12/1987
578.23;3;08/02/2007
401.7;9;15/03/1980
334.92;5;17/12/1993
51.78;16;10/09/2002
500.28;15;21/12/1994
529.15;14;26/05/2010
543.38;11;17/03/1961
0.99;18;14/10/1974
424.7;4;27/07/1966
50.28;14;23/11/2001
837.46;4;13/02/1970
696.05;14;18/12/1961
485.45;17;04/12/1977
803.8;10;17/02/1971
672.92;16;10/06/1990
74.05;2;11/05/1962
72.96;4;19/09/2002
261.51;1;10/07/2000
80.11;17;10/01/1968
980.94;6;29/09/1960
890.36;12;04/03/1977
642.19;14;08/01/2005
686.9;0;05/05/1993
640.76;17;20/02/2002
635.5;10;14/04/2001
749.04;1;30/12/1976
953.35;9;29/06/1987
715.02;4;02/01/1963
45.3;1;17/11/1964
811.21;2;29/06/1980
589.65;7;12/02/1994
589.2;17;23/12/2008
782.38;3;16/03/1999
408.33;14;14/02/1989
543.77;2;29/03/1992
617.87;2;24/06/2013
980.66;7;28/01/1974
198.3;2;31/12/2007
454.41;15;25/09/1977
498.34;4;20/07/1968
197.25;13;05/08/2012
653.97;6;12/08/1965
66.92;4;11/01/2014
725.2;13;15/06/1979
42.66;14;23/07/1979
343.48;3;09/03/1988
806.49;18;09/12/1969
203.99;12;02/09/1965
879.06;1;01/02/1998
461.86;11;20/12/1984
492.78;7;02/02/1979
571.75;12;16/01/1965
688.73;3;10/10/1986
338.17;17;28/05/1975
64.08;10;30/12/1963
586.11;9;21/08/1997
520.05;13;08/01/2006
502.61;1;08/01/1968
156.45;6;11/04/2008
101.4;15;30/10/1972
818.18;18;19/03/1972
602.45;7;16/05/1993
454.74;7;18/08/1981
651.47;1;15/01/1963
440.43;18;14/01/1994
3.08;4;11/07/1969
897.36;0;30/11/1982
503.58;16;07/01/1993
243.52;6;03/10/1972
302.53;7;23/06/2007
75.48;0;05/01/2014
236.1;10;06/05/1992
810.26;14;19/01/1982
222.72;16;17/08/1987
519.79;17;04/06/1991
425.21;9;03/09/2013
157.97;13;23/01/1997
420.16;19;14/03/1969
14.45;13;18/11/1994
901.53;6;23/06/1970
138.86;6;29/04/1975
681.46;10;20/09/1974
617.66;13;26/02/2010
257.43;14;01/10/1976
704.53;2;10/08/1967
735.65;5;29/09/1993
702.17;13;06/10/2008
849.32;9;02/06/2003
262.52;19;02/06/1996
525.81;12;28/05/1982
56.69;19;12/08/1977
446.31;18;13/11/1967
2.22;1;01/12/2010
236.26;2;30/10/2013
910.26;5;26/05/1993
927.75;13;19/07/2001
310.56;16;11/03/1968
669.94;5;10/12/2011
656.77;11;15/06/1980
26.75;2;04/01/1976
234.81;12;11/06/2000
711.62;3;07/07/1975
65.71;10;21/03/1973
55.27;4;29/12/2011
380.63;10;07/02/1972
598.44;0;08/07/1970
867.53;4;07/05/2011
828.85;0;21/05/1977
657.66;16;27/04/1992
548.02;6;14/02/1974
798.56;13;30/05/1984
634.55;16;20/05/1984
903.42;13;18/03/2005
967.49;4;03/06/1992
480.18;0;10/08/1987
55.88;13;29/09/2013
627.95;8;21/11/1989
983.16;12;25/08/1999
891.05;1;08/01/1998
781.66;1;20/02/2007
927.36;17;30/11/1973
391.13;10;04/04/1985
668.43;6;24/02/1975
183.11;2;03/06/1995
13.98;8;17/05/2008
333.08;15;08/03/1994
46.14;11;11/08/1974
444.42;2;05/09/1990
803.8;17;12/06/2011
49.37;19;27/07/1999
901.61;7;16/11/1966
376.75;13;19/10/1985
588.88;17;20/07/1969
953.18;4;26/03/2001
143.38;0;03/11/2006
734.18;3;18/04/2013
3.12;13;08/03/2001
4.89;6;10/02/1974
522.82;7;14/03/2004
882.17;16;30/10/1995
264.15;15;14/11/1973
944.75;10;28/08/1978
900.17;3;10/09/2005
45.31;10;27/08/1995
42.16;12;28/01/1969
364.99;3;21/01/1982
35.22;5;03/12/1992
80.64;19;15/04/1961
268.68;1;03/06/1967
868.98;1;28/10/1976
106.28;11;21/02/1977
786.5;17;30/11/1990
753.61;17;13/01/1972
675.49;5;02/10/1968
389.32;14;27/11/2013
163.83;9;22/01/1991
628.58;13;26/02/1981
980.05;2;01/06/1993
849.64;3;06/01/2005
798.22;2;10/02/1987
377.63;18;06/12/2013
183.47;12;25/10/1969
814.28;0;04/02/1981
625.22;8;19/08/1999
553.24;18;12/04/2000
739.04;8;17/07/1987
401.4;17;05/10/1989
780.44;17;26/10/1995
206.33;3;09/08/2014
855.3;2;11/04/1974
986.17;0;23/10/2009
17.71;11;12/04/1965
583.31;16;19/06/1960
620.38;12;13/09/1996
678.18;1;29/07/1968
304.91;9;12/01/1966
761.48;6;23/03/1966
286.89;1;03/03/2006
576.22;3;21/10/1975
676.63;10;15/09/2008
605.8;13;03/05/2006
472.57;15;11/11/1999
449.47;2;17/02/1974
236.23;2;09/05/1978
735.97;13;06/06/1997
892.83;2;30/03/2006
471.93;11;17/05/1976
357.37;5;22/02/1981
91.98;2;19/03/1961
944.84;8;17/09/2005
708.26;0;12/04/2007
635.78;10;31/03/1967
179.49;5;07/06/2004
11.07;19;30/08/1993
214.09;14;22/07/1970
986.81;18;01/03/1984
163.44;5;12/06/1991
741.6;18;15/10/2006
872.71;2;04/03/2004
472.98;0;09/08/1962
658.8;8;11/02/1975
809.94;17;23/04/1968
442.66;1;13/08/1997
977.78;15;29/08/1971
341.79;4;17/10/1970
716.19;9;21/02/1987
736.91;8;05/03/1974
717.87;11;19/11/1960
373.25;11;13/06/1988
134.17;5;27/09/1968
