255.38;1;06/03/2003
951.15;6;15/01/1996
27.52;11;04/09/1972
197;2;08/02/1962
117.47;19;16/11/1974
68.16;16;17/04/1962
816.85;14;12/12/2011
425.45;4;18/03/1965
749.67;4;01/08/1977
815.93;17;23/09/2000
903.68;13;04/08/1985
762.86;1;11/03/1991
421.5;10;23/09/1967
773.32;4;22/08/1966
677.02;5;02/06/2009
252.34;10;13/06/1992
247.48;19;13/02/2008
517.82;8;31/05/1965
143.89;2;19/12/1961
324.09;8;21/01/2013
831.52;13;04/10/1976
466.45;2;28/01/1977
957.64;9;07/04/1971
570.92;15;21/07/1989
398.79;15;16/09/1972
407.29;18;21/11/1967
886.92;13;30/06/1996
510.84;14;14/03/1967
511.31;11;15/07/1967
486.97;6;15/05/2005
306.37;6;13/08/1984
708.19;13;28/08/1985
706.17;3;22/08/1985
717.04;10;30/05/1990
204.84;17;09/08/1963
218.98;12;17/05/2012
232.82;5;10/07/1989
204.09;15;13/01/1966
215.86;12;23/10/1998
264.98;2;02/02/1986
495.91;11;16/01/1999
293.48;1;20/12/2011
277.74;3;21/11/1966
323.2;11;14/10/2001
835.13;4;03/11/1982
645.97;6;22/11/1987
726.75;16;23/12/2002
443.13;11;16/04/1972
891.18;14;15/11/2007
939.1;5;26/09/1999
917.03;5;29/01/2009
574.38;18;26/03/2000
19.37;19;17/04/1960
401.99;12;01/04/2013
844.58;9;21/03/1964
0.22;14;20/02/1962
17.6;0;15/06/2008
752.47;7;28/10/1983
730.37;11;25/08/1961
630.25;9;29/05/1971
835.16;13;04/12/1997
309.64;19;03/09/1990
88.57;4;19/06/1981
906.06;13;04/10/1980
921.86;0;25/10/1998
102.58;16;07/08/1963
471.36;13;19/12/1966
418.67;14;05/06/1968
463.9;18;08/12/1965
687.95;12;14/01/1994
840.28;10;26/09/2012
24.99;0;04/10/2000
933.63;14;19/05/1967
124.17;3;13/02/2006
366.67;18;15/04/1983
282.63;19;05/03/2001
154.57;6;29/05/2007
129.05;5;31/12/1962
410.15;5;11/11/2006
398.52;5;29/11/2014
451.53;16;03/05/1991
870.96;0;11/04/1993
463.91;1;21/05/1978
606.44;12;06/10/1999
417.32;3;15/02/1977
109.59;12;10/01/1989
989.76;2;28/12/1987
952.16;14;20/10/2003
383.3;12;20/11/1972
513.29;13;10/11/1999
292.86;7;23/08/2013
871.91;4;30/12/1980
830.45;3;14/08/1965
933.8;10;04/04/2004
907.94;3;25/07/1985
701.01;9;22/10/2003
720.86;7;01/08/1970
