20/04/1966,4,536.88
10/08/1984,10,437.07
02/03/1982,11,163.38
14/06/1998,5,643.03
09/07/1993,15,927
03/11/1991,13,489.26
09/06/1969,2,684.58
24/04/1990,5,29.34
30/09/1982,12,105.12
01/01/2013,13,37.2
10/01/1961,4,52.25
10/08/1975,10,238.43
15/07/1984,9,224.84
08/01/1981,3,657.24
23/10/2012,5,346.19
17/08/2009,17,932.94
09/02/1964,0,706.4
19/06/1982,12,495.96
06/10/1986,1,181.24
07/02/1987,9,268.47
28/11/1989,2,370.5
01/08/1963,4,300.35
27/12/1970,10,598.87
15/12/1995,10,808.55
01/02/2009,15,817.29
26/01/2010,16,156.72
21/12/2009,8,30.91
02/05/1997,19,702.06
20/09/1965,1,594.42
16/09/1996,16,316.65
22/10/2012,5,374.16
27/02/1982,4,39.23
30/11/1994,1,429.91
31/03/1991,14,368.4
01/05/2004,10,55.65
15/11/1987,1,416.4
06/05/1984,2,5.61
21/06/1982,1,610.54
24/09/1997,17,777.55
30/07/2014,14,72.8
26/04/1961,10,415.95
09/09/2009,3,802.23
12/10/1980,9,409.29
29/08/1997,2,514.36
28/06/2001,11,594.5
15/04/2000,5,500.36
22/11/1962,2,241.53
11/05/2002,1,310.02
07/06/2010,16,597.13
30/10/1991,7,949.12
29/09/1987,10,532.28
22/11/2010,7,735.46
09/05/1985,18,705.91
25/05/1989,5,960.68
17/01/1989,2,960.11
03/01/1973,7,146.78
08/11/1971,5,861.8
17/06/1980,5,418.5
05/06/2004,16,252.9
31/08/1965,1,393.97
18/11/1990,17,946.78
02/07/1965,2,945.53
29/01/2004,6,882.22
07/09/1979,17,228.98
01/03/2013,5,917.62
27/03/1962,7,909.88
23/12/1960,2,304.79
07/10/1977,1,527.79
05/10/2001,8,743.71
08/10/1962,15,288.57
15/01/1980,5,791.46
25/02/2007,12,228.81
09/02/2011,11,520.12
13/10/1992,4,978.17
26/08/1977,11,413.11
18/10/1994,2,191.65
01/07/1985,5,15.04
04/04/1992,4,926.3
10/09/2004,11,249.29
05/09/2006,18,700.84
21/07/1976,0,266.98
09/02/2014,15,963.83
23/03/2000,17,351.75
30/10/1989,1,78.32
21/12/2000,14,672.32
27/04/2003,4,440.44
29/03/2004,6,429.3
04/01/1992,8,826.62
21/10/1960,9,297.94
30/12/1989,16,709.02
29/04/1970,12,623.85
23/10/2008,15,901.24
25/03/1979,16,916.03
27/10/2001,11,165.57
02/01/1998,0,119.61
26/07/2012,1,106.38
31/10/1983,8,490.04
23/12/1976,7,930.71
